log.fc	test.stat	p.value	q.value	probe.id	gene.id
1.90005008209589	22.9374287230861	1.81368470334342e-08	9.39333954414071e-07	1772477_at	YJR124C
-2.38721307293228	-22.8992798641266	1.83718695992544e-08	9.47017881984208e-07	1772202_at	YKL148C
1.91201483799998	22.8212185581019	1.88635442273957e-08	9.6341169229826e-07	1773490_at	YOL080C
-4.28529427974704	-22.7737143470635	1.91699965194389e-08	9.6341169229826e-07	1779897_at	YNR034W-A
-1.76266371426771	-22.7690288537533	1.92005253600419e-08	9.6341169229826e-07	1770686_at	YIL042C
-1.77993342611929	-22.759910506225	1.92600939854648e-08	9.6341169229826e-07	1777816_at	YDL238C
2.0965760850015	22.7574970985113	1.92758951742165e-08	9.6341169229826e-07	1771378_at	YOR047C
-2.41668997939435	-22.7454343117297	1.93550923849287e-08	9.6341169229826e-07	1777707_at	YBR047W
-4.39442806492093	-22.744471442292	1.93614297944034e-08	9.6341169229826e-07	1776354_s_at	YMR323W
-2.01566198240835	-22.7393489722689	1.93951841421685e-08	9.6341169229826e-07	1776170_at	YMR034C
-2.886161189484	-22.6502027389522	1.99933496534016e-08	9.82422988518314e-07	1772756_at	YGR146C
-3.32608676607387	-22.6498608719704	1.99956831837767e-08	9.82422988518314e-07	1778357_at	YPL156C
-5.13405667920569	-22.6422644934437	2.00476140592592e-08	9.82422988518314e-07	1780248_at	YPR192W
-4.71210393541899	-22.512879932435	2.09558578225277e-08	1.02234649234189e-06	1769986_at	YDL223C
1.52170153737458	22.4639051290031	2.13116616029045e-08	1.03508372442907e-06	1772959_at	YBR213W
-1.87863637858501	-22.4349658772139	2.15251006720384e-08	1.04082433692051e-06	1773758_at	YDL194W
-1.51766175340817	-22.3163763308428	2.24252454715518e-08	1.07483808119789e-06	1770656_at	YBR053C
-2.76141143821446	-22.2965159523181	2.25800992212058e-08	1.07753416720235e-06	1770886_at	YLR030W
-2.51442041528075	-22.2671381169435	2.28113740631725e-08	1.08028638731318e-06	1770764_at	YDL199C
-1.60273327536407	-22.2633387293296	2.28414787352984e-08	1.08028638731318e-06	1772181_at	YKL133C
-1.7054127417797	-22.2516548019512	2.29343376515975e-08	1.08028638731318e-06	1772227_at	YJL137C
-2.25265177838989	-22.1006280476995	2.41736909244525e-08	1.13377722928076e-06	1769853_at	YBR295W
-1.85418141486954	-22.0243231426078	2.48284104071131e-08	1.15950798687578e-06	1779921_at	YPL004C
-2.84727680840274	-21.999782080489	2.50432048612473e-08	1.16302881036915e-06	1775890_at	YMR090W
-4.97476408598632	-21.9914445210557	2.51166543966984e-08	1.16302881036915e-06	1771695_at	YPR001W
1.54130286375784	21.9429222915354	2.55489525052518e-08	1.17805465391304e-06	1780137_at	YDR281C
2.94676488897209	21.9071069482552	2.58734159192965e-08	1.18800289565577e-06	1778550_at	YJR147W
1.50099547419211	21.891474725392	2.60164856822831e-08	1.18957387253552e-06	1773498_at	YJR010W
-1.55602469275278	-21.8689316306895	2.62243762233106e-08	1.19408326403474e-06	1777238_at	YGR174C
-2.11269777763733	-21.8455830680297	2.64416683752261e-08	1.19898154358702e-06	1776204_at	YKL151C
-2.95649388220483	-21.7621665905885	2.72347002071067e-08	1.22983803249282e-06	1773889_at	YOL131W
-1.81161572997011	-21.7134433648803	2.77102758588168e-08	1.24616417524753e-06	1776923_at	YPL135W
-1.54125484644765	-21.63771367761	2.84681277088529e-08	1.27499876886207e-06	1777042_at	YDR513W
-1.62215568290984	-21.5877571140785	2.89808258485007e-08	1.29266312192823e-06	1775041_at	YPR061C
-1.78909251904775	-21.5642284922362	2.9225891536611e-08	1.29829488907352e-06	1769450_at	YER035W
1.61921230121506	21.53306249877	2.95541046633835e-08	1.30755973992492e-06	1774429_at	YPL279C
1.59205541142833	21.5125457506242	2.97724334717302e-08	1.31190787491559e-06	1780138_at	YOR108W
-1.77186342617438	-21.4913962156006	2.99993984170783e-08	1.31660010402342e-06	1780117_at	YDR523C
-3.67212949333139	-21.4612885030165	3.03258649768264e-08	1.32560420986704e-06	1774435_at	YJL161W
-1.43086210506777	-21.3660617368831	3.13850599955332e-08	1.3664379905625e-06	1773792_at	YIL097W
-2.30669693020054	-21.3334763417586	3.17570167907495e-08	1.37714555352901e-06	1777223_at	YGR127W
1.44329739851873	21.1250686461344	3.42566829923782e-08	1.47967206221624e-06	1773086_at	YDR165W
2.28697595501424	21.0640896583913	3.50294100690499e-08	1.50709209934873e-06	1770515_x_at	YLR461W
-2.67404351983372	-21.0126816433785	3.56961159761546e-08	1.51943288242011e-06	1778518_at	YNL012W
3.04325283910155	21.0077388381647	3.57609678349809e-08	1.51943288242011e-06	1777309_at	YBR085W
2.75851797016064	20.9951061066213	3.59273184671631e-08	1.51943288242011e-06	1771190_at	YGR177C
1.43316466681519	20.9903314400871	3.59904190091112e-08	1.51943288242011e-06	1771778_at	YJR143C
-1.46497805756208	-20.9887422312558	3.60114491715601e-08	1.51943288242011e-06	1777271_at	YOL147C
-1.53794343463464	-20.9672120501396	3.62977275239064e-08	1.52562140915865e-06	1780047_at	YPL203W
-1.6430742010277	-20.9051120790223	3.71379000290791e-08	1.55495391386121e-06	1770795_at	YKL162C
2.4749507576494	20.8732053460578	3.75780747009068e-08	1.56475741521556e-06	1777945_at	YGR138C
-2.26852700244104	-20.8674268916659	3.76584187593056e-08	1.56475741521556e-06	1780120_at	YOR031W
1.45542409764968	20.8542792005166	3.78419466652546e-08	1.56642724681023e-06	1773052_at	YEL029C
-4.01982982244043	-20.827067047986	3.82250065477512e-08	1.57631272284463e-06	1771951_at	YJL144W
-2.33316823748102	-20.816792843629	3.83707678304357e-08	1.57637500319925e-06	1773938_at	YKL086W
1.40214380620604	20.8015913108478	3.85875826551972e-08	1.57934495601496e-06	1778766_at	YKL120W
1.33440556247456	20.7867927696097	3.87999751265344e-08	1.58211241859242e-06	1771495_at	YDR528W
1.53263634264091	20.7469734397546	3.93780357498798e-08	1.59971440399512e-06	1773600_at	YIL074C
1.58564758909695	20.721094154653	3.97589229724239e-08	1.60920559349129e-06	1772716_at	YNL108C
-1.71494914825611	-20.6593259598177	4.06848911580943e-08	1.63497331455563e-06	1776046_at	YBR001C
-1.52011125730982	-20.656603800327	4.0726253989129e-08	1.63497331455563e-06	1771657_at	YDR525W-A
1.86208464050526	20.6488448415622	4.08444102190417e-08	1.63497331455563e-06	1779978_at	YEL071W
-1.36119099567479	-20.6062343561382	4.15002155174928e-08	1.65516188020132e-06	1774835_at	YIL033C
-3.1544431199111	-20.5702606254011	4.20631114037302e-08	1.67151156879987e-06	1769617_at	YBR157C
-2.54474619205352	-20.461453932967	4.38186485263928e-08	1.71808965095336e-06	1776813_at	YPR007C
1.4514200083426	20.452211013278	4.39715381004818e-08	1.71808965095336e-06	1772783_at	YLR285W
1.77241464626211	20.4442861372868	4.41031037307446e-08	1.71808965095336e-06	1775386_at	YML116W
-1.63591172455237	-20.4427575247306	4.41285320839475e-08	1.71808965095336e-06	1772459_at	YDL181W
-1.30867606405348	-20.4404444660391	4.41670410189363e-08	1.71808965095336e-06	1773993_at	YHR008C
-2.21157190519141	-20.4341548203392	4.42719455061333e-08	1.71808965095336e-06	1770437_at	YPR015C
-3.45905757235112	-20.4303364359696	4.4335768811205e-08	1.71808965095336e-06	1771757_at	YER024W
-2.05112729345748	-20.4093920134132	4.46876964579949e-08	1.7250928328989e-06	1774545_at	YIL113W
-1.26008660132268	-20.4008453616249	4.48322075899786e-08	1.7250928328989e-06	1773959_at	YPL159C
-1.38706895325407	-20.3799335664155	4.5188017828932e-08	1.73268301345463e-06	1773420_at	YMR147W
1.50240385870727	20.3410558711432	4.58579934172396e-08	1.75222430791467e-06	1777180_at	YPR138C
-1.59280993043043	-20.3279184846816	4.60869101871962e-08	1.75483538162258e-06	1773688_at	YLR446W
1.53293565169269	20.2991485363159	4.65927276362504e-08	1.76751671292085e-06	1773500_at	YOR012W
1.85950971050551	20.2906441296595	4.6743441620985e-08	1.76751671292085e-06	1773727_at	YFR055W
-1.46676532970341	-20.26805346004	4.71464619694981e-08	1.77660874621612e-06	1778599_at	YKL150W
-1.91093419957803	-20.2519356859332	4.74363955434531e-08	1.78100788637883e-06	1776136_at	YGL208W
-2.78375960325791	-20.2409146665318	4.76358015356517e-08	1.78100788637883e-06	1775480_at	YLR438W
-1.9342373792678	-20.2345090605924	4.77521331175876e-08	1.78100788637883e-06	1773597_at	YDR313C
-3.17872566377761	-20.1766221658825	4.88180348106457e-08	1.81456967486645e-06	1770483_at	YMR280C
-1.42091768919575	-20.1628386495216	4.90757679891607e-08	1.81796607656118e-06	1778808_at	YDL078C
-1.64251690047035	-20.0426269902335	5.13896405376582e-08	1.89647313932295e-06	1770529_at	YOL032W
-5.60168921857377	-20.0349191103518	5.15421415061233e-08	1.89647313932295e-06	1776768_at	YLR377C
-1.50402170197307	-20.0072364741365	5.20940586056339e-08	1.89980479252202e-06	1773890_at	YNL077W
-1.37104279018814	-19.9954149710989	5.23317715136597e-08	1.89980479252202e-06	1774194_at	YPL177C
-1.4887954753384	-19.9859888455659	5.2522191814833e-08	1.89980479252202e-06	1776609_at	YKL142W
-2.01974016682906	-19.9852844414067	5.25364529996195e-08	1.89980479252202e-06	1769551_at	YAL034C
-2.7843203971293	-19.9799601091897	5.26443891162422e-08	1.89980479252202e-06	1771515_at	YML131W
-2.11005183141714	-19.9784142710744	5.26757734383392e-08	1.89980479252202e-06	1771782_at	YDL130W-A
-3.91306898316892	-19.9191878905408	5.38942210903429e-08	1.93735542130022e-06	1771498_at	YGL156W
-1.37534721251675	-19.9071797378964	5.41451102180235e-08	1.93999267036905e-06	1769857_at	YKL085W
-2.33127799768697	-19.869323911199	5.494468459749e-08	1.96220755974304e-06	1771624_at	YDR453C
1.95070623734887	19.8127398772519	5.61647229819632e-08	1.99924460178141e-06	1778228_at	YCR043C
1.53733957515081	19.7987550341859	5.64709364480943e-08	2.00361816072979e-06	1771737_at	YNL153C
1.71226755479745	19.7796570393649	5.68921471438809e-08	2.00389932747477e-06	1777383_at	YOR092W
-3.53522293742574	-19.7743845878865	5.70090542090773e-08	2.00389932747477e-06	1776173_at	YPR030W
-4.5056312397593	-19.7683539263146	5.71431047742034e-08	2.00389932747477e-06	1776183_at	YDR216W
2.10267782791523	19.7586366096695	5.73598498226063e-08	2.00389932747477e-06	1773809_at	YNL065W
-1.24175385918885	-19.7542057795754	5.74589865930268e-08	2.00389932747477e-06	1773560_at	YBL033C
-1.31222828057241	-19.7488489936914	5.7579098538349e-08	2.00389932747477e-06	1772790_at	YPL170W
-2.94674728010667	-19.7233618129902	5.8154465950323e-08	2.01749842509565e-06	1770566_at	YOR028C
-3.50202213211331	-19.670241058761	5.93745696526957e-08	2.04796560249695e-06	1769805_at	YMR169C
1.31571364458732	19.6688246609517	5.940749414271e-08	2.04796560249695e-06	1772349_at	YNL182C
-1.87441475140654	-19.6355437477466	6.01870605062385e-08	2.06183133922312e-06	1779105_at	YLR258W
-1.8227339663932	-19.6239777611732	6.04606703512773e-08	2.06473189249612e-06	1774157_at	YMR271C
-1.41135243873051	-19.6024526134053	6.09736127817957e-08	2.07480752216917e-06	1770855_at	YMR156C
-5.3622227396157	-19.5942108344552	6.11713086460825e-08	2.07480752216917e-06	1773135_at	YPL054W
-1.28676123221349	-19.5878119844336	6.13252955399562e-08	2.07480752216917e-06	1780210_at	YOR052C
-1.33588832544743	-19.577704901084	6.15694096467215e-08	2.07663737228201e-06	1775892_at	YIL077C
-3.51582150479368	-19.5527046039983	6.2177947411195e-08	2.09070956710627e-06	1769723_at	YGR174W-A
-6.85685474396806	-19.5427020890527	6.24233141145729e-08	2.09252140074863e-06	1778142_at	YBR117C
-3.03608720640573	-19.4991523743352	6.35043855935307e-08	2.12225053751102e-06	1774769_at	YIL037C
-1.90761577551495	-19.4906920060559	6.37168395130253e-08	2.12285860426323e-06	1776257_at	YGR250C
1.35454739039903	19.4708612563096	6.42179641550114e-08	2.13305140512451e-06	1775394_at	YBR042C
1.52794725853192	19.4497205145411	6.47570821887239e-08	2.14126932757506e-06	1769887_at	YHR133C
-1.4489706760619	-19.4458139702786	6.48572609285639e-08	2.14126932757506e-06	1780036_at	YEL012W
1.39291568008166	19.4302569077957	6.5257937144916e-08	2.14682461229616e-06	1773605_at	YNL175C
-1.37620838425453	-19.4240555963899	6.54184293461402e-08	2.14682461229616e-06	1774736_at	YPR098C
-2.92343415942101	-19.4041006401125	6.59378926410216e-08	2.15739308617091e-06	1774495_at	YMR250W
-2.2482456080674	-19.3889604303421	6.63351166831861e-08	2.16391091078764e-06	1773831_at	YMR114C
-1.39935304445354	-19.364723437772	6.69766251731383e-08	2.17833499967874e-06	1776670_at	YFL042C
-1.24618232368289	-19.3550567611552	6.7234429189631e-08	2.18023098571005e-06	1769313_at	YGL059W
-3.75623631383578	-19.3447650389824	6.75101306763159e-08	2.18269440245793e-06	1778907_at	YMR105C
3.19901657817842	19.3202716103083	6.8171407841061e-08	2.19757269878205e-06	1769349_s_at	YOR072W-B
-4.07649824937771	-19.3047687782767	6.85937209154005e-08	2.20468288871617e-06	1769544_at	YLR149C
1.47389459382547	19.2775554514648	6.93421781830715e-08	2.2222032937965e-06	1774092_at	YML043C
2.46007179616443	19.2637482368941	6.9725433436129e-08	2.22623892701453e-06	1777559_at	YKL128C
-1.40400570860873	-19.2583635626755	6.98755446528169e-08	2.22623892701453e-06	1774804_at	YNR007C
