""	"b1"	"b2"	"b3"	"c1"	"c2"	"c3"
"YJL049W"	1	6	6	8	3	7
"YBR263W"	28	34	21	8	20	24
"YOR249C"	6	5	2	2	2	5
"YBL097W"	12	6	2	1	2	1
"YCR020W-B"	4	2	4	0	1	3
"YPR044C"	1	0	0	0	1	0
"YDR286C"	0	1	1	7	1	5
"YDR170W-A"	0	0	0	0	0	0
"YLR342W-A"	0	0	0	0	0	0
"YGR027W-A"	0	0	0	0	0	0
"YBL043W"	0	0	2	9	14	9
"YLR018C"	11	7	6	4	5	5
"YMR076C"	7	17	2	9	17	15
"YOR251C"	12	10	11	9	10	15
"YAR070C"	0	1	0	0	0	1
"YBR124W"	0	1	1	0	0	0
"YJR135W-A"	3	3	6	2	4	8
"YOR186W"	0	0	0	0	0	2
"YDR083W"	11	16	11	4	2	7
"YOR011W-A"	0	0	0	0	0	0
"YOR267C"	14	8	10	8	10	17
"YLR109W"	67	88	75	43	70	76
"YOR032C"	0	1	1	3	3	5
"YOR091W"	12	12	11	12	5	5
"YKR059W"	96	130	102	40	48	65
"YBR205W"	13	22	6	5	5	11
"YLR316C"	2	2	1	1	1	2
"YDR406W-A"	0	0	0	0	0	0
"YLR292C"	5	9	8	4	5	3
"YCR044C"	7	12	7	3	1	3
"YLR216C"	17	20	9	21	30	39
"YDR046C"	9	3	1	0	2	1
"YGR069W"	0	0	0	0	0	0
"YJL092W"	6	12	9	11	4	17
"YDR096W"	4	5	3	5	9	5
"YML018C"	32	31	22	5	4	6
"YLR445W"	0	0	0	1	1	0
"YOR138C"	6	3	7	5	10	15
"YOR369C"	125	147	118	53	51	75
"YGR246C"	5	8	8	3	11	10
"YJR145C"	135	178	143	46	53	69
"YJR138W"	6	7	3	10	10	14
"YHR059W"	6	4	3	2	4	4
"YLR138W"	15	21	19	4	7	15
"YHL009W-B"	0	1	1	0	1	1
"YDR098C-B"	15	35	22	18	15	12
"YNL156C"	13	10	4	7	14	15
"YNL106C"	3	3	1	4	7	8
"YNL286W"	2	8	3	2	1	5
"YNL093W"	0	0	0	2	2	4
"YIL040W"	6	5	3	3	2	4
"YKL104C"	26	40	21	26	32	45
"YLR186W"	8	11	11	3	6	9
"YDR425W"	4	2	2	4	6	4
"YGL134W"	4	1	2	6	6	3
"YJR094W-A"	36	40	32	9	7	14
"YDR293C"	28	37	24	23	33	45
"YBL113W-A"	0	0	0	0	0	0
"YNR015W"	3	6	5	6	6	6
"YKL006W"	70	79	59	27	24	37
"YLR456W"	0	1	4	1	1	4
"YDR448W"	1	4	2	3	5	2
"YIL166C"	2	0	1	4	1	3
"YDR097C"	7	17	11	9	10	13
"YER184C"	4	1	2	2	1	4
"YJL047C-A"	0	0	0	0	0	0
"YJL066C"	4	6	2	9	13	10
"YKL095W"	3	1	0	2	1	2
"YLR368W"	4	4	3	2	6	5
"YOR194C"	11	15	10	11	7	16
"YGR060W"	73	109	64	48	77	96
"YHR041C"	5	5	3	1	0	3
"YBR115C"	86	130	80	39	37	49
"YCR097W"	2	7	3	1	4	3
"YBR147W"	4	3	6	4	7	9
